"Scan Results","01/09/2019 at 15:50:33 (GMT)"
"First Base Technologies","King Business Centre Reeds Lane, Sayers Common","High Street","Hassocks","None","United Kingdom","BN6 9LS"
"Mark Rose","frstb-mr","Manager"
"Launch Date","Client","Active Hosts","Total Hosts","Type","Status","Reference","Scanner Appliance","Duration","Scan Title","Asset Groups","IPs","Excluded IPs","Option Profile"
"01/08/2019 at 10:21:33 (GMT)","First Base","20","29","On-demand (default option profile)","Finished","scan/1546942893.27199","64.39.102.104 (Scanner 10.5.59-1, Vulnerability Signatures 2.4.504-2)","01:23:14","FB04255 CP03387 Origen",,"31.24.217.103, 81.143.201.108, 87.224.92.162-87.224.92.167, 87.224.92.169-87.224.92.173, 87.224.92.184, 87.224.92.190, 87.224.103.106, 95.175.199.182, 109.238.74.74, 185.91.130.20, 217.68.244.49, 217.68.244.53, 217.68.247.177-217.68.247.178, 217.68.247.180-217.68.247.184, 217.68.247.187",,"Initial Options"
"IP","DNS","NetBIOS","OS","IP Status","QID","Title","Type","Severity","Port","Protocol","FQDN","SSL","CVE ID","Vendor Reference","Bugtraq ID","Threat","Impact","Solution","Exploitability","Associated Malware","Results","PCI Vuln","Instance","Category"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","11827","HTTP Security Header Not Detected","Vuln","2","443","tcp",,,,,,"This QID reports the absence of the following HTTP headers (https://www.owasp.org/index.php/OWASP_Secure_Headers_Projecttab=Headers) according to CWE-693: Protection Mechanism Failure (https://cwe.mitre.org/data/definitions/693.html): 
X-Frame-Options: This HTTP response header improves the protection of web applications against clickjacking attacks. Clickjacking, also known as a ""UI redress attack"", allows an attacker to use multiple transparent or opaque layers to trick a targeted user into clicking on a button or link on another page when they were intending to click on the the top level page.  
X-XSS-Protection: This HTTP header enables the browser built-in Cross-Site Scripting (XSS) filter to prevent cross-site scripting attacks. X-XSS-Protection: 0; disables this functionality. 
X-Content-Type-Options: This HTTP header prevents attacks based on MIME-type mismatch. The only possible value is nosniff. If your server returns X-Content-Type-Options: nosniff in the response, the browser will refuse to load the styles and scripts in case they have an incorrect MIME-type.  
Strict-Transport-Security: The HTTP Strict-Transport-Security response header (HSTS) is a security feature that lets a web site tell browsers that it should only be communicated with using HTTPS, instead of using HTTP. 
QID Detection Logic: 
This unauthenticated QID looks for the presence of the following HTTP responses: 
Valid directives for X-Frame-Options are: 
X-Frame-Options: DENY - The page cannot be displayed in a frame, regardless of the site attempting to do so. 
X-Frame-Options: SAMEORIGIN - The page can only be displayed in a frame on the same origin as the page itself. 
X-Frame-Options: ALLOW-FROM RESOURCE-URL - The page can only be displayed in a frame on the specified origin. 
Valid directives for X-XSS-Protections are: 
X-XSS-Protection: 1 - Enables XSS filtering (usually default in browsers). If a cross-site scripting attack is detected, the browser will sanitize the page (remove the unsafe parts). 
X-XSS-Protection: 1; mode=block - Enables XSS filtering. Rather than sanitizing the page, the browser will prevent rendering of the page if an attack is detected. 
X-XSS-Protection: 1; report=URI  - Enables XSS filtering. If a cross-site scripting attack is detected, the browser will sanitize the page and report the violation. This uses the functionality of the CSP report-uri directive to send a report. 
X-XSS-Protection: 0 disables this directive and hence is also treated as not detected. 
A valid directive for X-Content-Type-Options: nosniff 
A valid HSTS directive Strict-Transport-Security: max-age=<expire-time>; [; includeSubDomains][; preload] 
 NOTE:  All report-only directives (where applicable) are considered invalid.","Depending on the vulnerability being exploited, an unauthenticated remote attacker could conduct cross-site scripting, clickjacking or MIME-type sniffing attacks.","CWE-693: Protection Mechanism Failure mentions the following - The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product. A ""missing"" protection mechanism occurs when the application does not define any mechanism against a certain class of attack. An ""insufficient"" protection mechanism might provide some defenses - for example, against the most common attacks - but it does not protect against everything that is intended. Finally, an ""ignored"" mechanism occurs when a mechanism is available and in active use within the product, but the developer has not applied it in some code path. 
Customers are advised to set proper X-Frame-Options (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options), X-XSS-Protection (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-XSS-Protection), X-Content-Type-Options (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Content-Type-Options) and Strict-Transport-Security (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security) HTTP response headers. 
Depending on their server software, customers can set directives in their site configuration or Web.config files. Few examples are: 
X-Frame-Options: 
Apache: Header always append X-Frame-Options SAMEORIGIN 
nginx: add_header X-Frame-Options SAMEORIGIN; 
HAProxy: rspadd X-Frame-Options:\ SAMEORIGIN 
IIS: <HTTPPROTOCOL><CUSTOMHEADERS><ADD NAME=""X-Frame-Options"" VALUE=""SAMEORIGIN""></ADD></CUSTOMHEADERS></HTTPPROTOCOL> 
X-XSS-Protection: 
Apache: Header always set X-XSS-Protection ""1; mode=block""  
PHP: header(""X-XSS-Protection: 1; mode=block""); 
X-Content-Type-Options: 
Apache: Header always set X-Content-Type-Options: nosniff 
HTTP Strict-Transport-Security: 
Apache: Header always set Strict-Transport-Security ""max-age=31536000; includeSubDomains"" 
Nginx: add_header Strict-Transport-Security max-age=31536000; 
  Note: Network devices that include a HTTP/HTTPS console for administrative/management purposes often do not include all/some of the security headers. This is a known issue and it is recommend to contact the vendor for a solution.",,,"X-XSS-Protection HTTP Header missing on port 443.
GET / HTTP/1.0
Host: 87-224-92-171.spitfireuk.net
X-Content-Type-Options HTTP Header missing on port 443.
Strict-Transport-Security HTTP Header missing on port 443.","yes",,"CGI"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","48001","Content-Security-Policy HTTP Security Header Not Detected","Ig","3","443","tcp",,,,"Content-Security-Policy",,"The HTTP Content-Security-Policy response header allows web site administrators to control resources the user agent is allowed to load for a given page. This helps guard against cross-site scripting attacks (XSS).","N/A","N/A",,,"Content-Security-Policy HTTP Header missing on port 443.
GET / HTTP/1.0
Host: 87-224-92-171.spitfireuk.net","no",,"Information gathering"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","48002","HTTP Public-Key-Pins Security Header Not Detected","Ig","3","443","tcp",,,,,,"HTTP Public Key Pinning (HPKP) is a security feature that tells a web client to associate a specific cryptographic public key with a certain web server to decrease the risk of MITM attacks with forged certificates.","N/A","N/A",,,"HTTP Public-Key-Pins Header missing on port 443.
GET / HTTP/1.0
Host: 87-224-92-171.spitfireuk.net","no",,"Information gathering"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","45017","Operating System Detected","Ig","2",,,,,,,,"Several different techniques can be used to identify the operating system (OS) running on a host. A short description of these techniques is provided below. The specific technique used to identify the OS on this host is included in the RESULTS section of your report.
1)  TCP/IP Fingerprint : The operating system of a host can be identified from a remote system using TCP/IP fingerprinting. All underlying operating system TCP/IP stacks have subtle differences that can be seen in their responses to specially-crafted TCP packets. According to the results of this ""fingerprinting"" technique, the OS version is among those listed below. 
Note that if one or more of these subtle differences are modified by a firewall or a packet filtering device between the scanner and the host, the fingerprinting technique may fail. Consequently, the version of the OS may not be detected correctly. If the host is behind a proxy-type firewall, the version of the operating system detected may be that of the firewall instead of the host being scanned.
2)  NetBIOS : Short for Network Basic Input Output System, an application programming interface (API) that augments the DOS BIOS by adding special functions for local-area networks (LANs). Almost all LANs for PCs are based on the NetBIOS. Some LAN manufacturers have even extended it, adding additional network capabilities. NetBIOS relies on a message format called Server Message Block (SMB). 
3)  PHP Info : PHP is a hypertext pre-processor, an open-source, server-side, HTML-embedded scripting language used to create dynamic Web pages. Under some configurations it is possible to call PHP functions like phpinfo() and obtain operating system information.
4)  SNMP : The Simple Network Monitoring Protocol is used to monitor hosts, routers, and the networks to which they attach. The SNMP service maintains Management Information Base (MIB), a set of variables (database) that can be fetched by Managers. These include ""MIB_II.system.sysDescr"" for the operating system.","Not  applicable.","Not  applicable.",,,"Operating System	Technique	ID
NetScaler	TCP/IP Fingerprint	U3264:443","no",,"Information gathering"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","6","DNS Host Name","Ig","1",,,,,,,,"The fully qualified domain name of this host, if it was obtained from a DNS server, is displayed in the RESULT section.","N/A","N/A",,,"IP address	Host name
87.224.92.171	87-224-92-171.spitfireuk.net","no",,"Information gathering"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","34011","Firewall Detected","Ig","1",,,,,,,,"A packet filtering device protecting this IP was detected. This is likely to be a firewall or a router using access control lists (ACLs).",,,,,"Some of the ports filtered by the firewall are: 20, 21, 22, 23, 25, 53, 80, 111, 135, 445.
Firewall responded to TCP probes sent to port 113 with RST packets (hopcount to firewall 14 vs hopcount to target 15).
Listed below are the ports filtered by the firewall.
No response has been received when any of these ports are probed.
1-112,114-442,444-6128,6130-65535","no",,"Firewall"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","45005","Internet Service Provider","Ig","1",,,,,,,,"The information shown in the Result section was returned by the network infrastructure responsible for routing traffic from our cloud platform to the target network (where the scanner appliance is located). 
 This information was returned from: 1) the WHOIS service, or 2) the infrastructure provided by the closest gateway server to our cloud platform. If your ISP is routing traffic, your ISP's gateway server returned this information.","This information can be used by malicious users to gather more information about the network infrastructure that may aid in launching further attacks against it.","N/A",,,"The ISP network handle is: RIPE-37
ISP Network description:
RIPE Network Coordination Centre","no",,"Information gathering"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","45006","Traceroute","Ig","1",,,,,,,,"Traceroute describes the path in realtime from the scanner to the remote host being contacted. It reports the IP addresses of all the routers in between.",,,,,"Hops	IP	Round Trip Time	Probe	Port
1	64.39.102.10	0.32ms	ICMP	 
2	195.21.22.201	0.26ms	ICMP	 
3	84.233.208.17	0.72ms	ICMP	 
4	84.233.208.25	9.00ms	ICMP	 
5	77.67.95.73	10.78ms	ICMP	 
6	89.149.133.158	9.25ms	ICMP	 
7	141.136.103.182	9.59ms	ICMP	 
8	4.69.141.246	15.61ms	ICMP	 
9	212.187.139.166	16.18ms	ICMP	 
10	83.218.143.185	16.11ms	ICMP	 
11	87.224.0.190	16.13ms	ICMP	 
12	62.133.0.10	16.12ms	ICMP	 
13	37.77.182.191	18.63ms	ICMP	 
14	87.224.92.162	19.36ms	ICMP	 
15	87.224.92.171	20.02ms	ICMP","no",,"Information gathering"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","45038","Host Scan Time","Ig","1",,,,,,,,"The Host Scan Time is the period of time it takes the scanning engine to perform the vulnerability assessment of a single target host. The Host Scan Time for this host is reported in the Result section below. 
The Host Scan Time does not have a direct correlation to the Duration time as displayed in the Report Summary section of a scan results report. The Duration is the period of time it takes the service to perform a scan task. The Duration includes the time it takes the service to scan all hosts, which may involve parallel scanning. It also includes the time it takes for a scanner appliance to pick up the scan task and transfer the results back to the service's Secure Operating Center. Further, when a scan task is distributed across multiple scanners, the Duration includes the time it takes to perform parallel host scanning on all scanners.
For host running the Qualys Windows agent this QID reports the time taken by the agent to collect the host metadata used for the most recent assessment scan.","N/A","N/A",,,"Scan duration: 2314 seconds
Start time: Tue, Jan 08 2019, 10:21:57 GMT
End time: Tue, Jan 08 2019, 11:00:31 GMT","no",,"Information gathering"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","45039","Host Names Found","Ig","1",,,,,,,,"The following host names were discovered for this computer using various methods such as DNS look up, NetBIOS query, and SQL server name query.","N/A","N/A",,,"Host Name	Source
87-224-92-171.spitfireuk.net	FQDN","no",,"Information gathering"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","82023","Open TCP Services List","Ig","1",,,,,,,,"The port scanner enables unauthorized users with the appropriate tools to draw a map of all services on this host that can be accessed from the Internet.  The test was carried out with a ""stealth"" port scanner so that the server does not log real connections.
The Results section displays the port number (Port), the default service listening on the port (IANA Assigned Ports/Services), the description of the service (Description) and the service that the scanner detected using service discovery (Service Detected).","Unauthorized users can exploit this information to test vulnerabilities in each of the open services.","Shut down any unknown or unused service on the list.  If you have difficulty figuring out which service is provided by which process or program, contact your provider's support team.  For more information about commercial and open-source Intrusion Detection Systems available for detecting port scanners of this kind, visit the CERT Web site (http://www.cert.org).",,,"Port	IANA Assigned Ports/Services	Description	Service Detected	OS On Redirected Port
443	https	http protocol over TLS/SSL	http over ssl","no",,"TCP/IP"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","82040","ICMP Replies Received","Ig","1",,,,,,,,"ICMP (Internet Control and Error Message Protocol) is a protocol encapsulated in IP packets. ICMP's principal purpose is to provide a protocol layer that informs gateways of the inter-connectivity and accessibility of other gateways or hosts. 
We have sent the following types of packets to trigger the host to send us ICMP replies: 
Echo Request (to trigger Echo Reply) 
Timestamp Request (to trigger Timestamp Reply) 
Address Mask Request (to trigger Address Mask Reply) 
UDP Packet (to trigger Port Unreachable Reply) 
IP Packet with Protocol >= 250 (to trigger Protocol Unreachable Reply)
Listed in the ""Result"" section are the ICMP replies that we have received.",,,,,"ICMP Reply Type	Triggered By	Additional Information
Echo (type=0 code=0)	Echo Request	Echo Reply","no",,"TCP/IP"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","82045","Degree of Randomness of TCP Initial Sequence Numbers","Ig","1",,,,,,,,"TCP Initial Sequence Numbers (ISNs) obtained in the SYNACK replies from the host are analyzed to determine how random they are. The average change between subsequent ISNs and the standard deviation from the average are displayed in the RESULT section. Also included is the degree of difficulty for exploitation of the TCP ISN generation scheme used by the host.","N/A","N/A",,,"Average change between subsequent TCP initial sequence numbers is 1262112614 with a standard deviation of 465502689. These TCP initial sequence numbers were triggered by TCP SYN probes sent to the host at an average rate of 1/(5173 microseconds). The degree of difficulty to exploit the TCP initial sequence number generation scheme is: hard.","no",,"TCP/IP"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","82046","IP ID Values Randomness","Ig","1",,,,,,,,"The values for the identification (ID) field in IP headers in IP packets from the host are analyzed to determine how random they are. The changes between subsequent ID values for either the network byte ordering or the host byte ordering, whichever is smaller, are displayed in the RESULT section along with the duration taken to send the probes. When incremental values are used, as is the case for TCP/IP implementation in many operating systems, these changes reflect the network load of the host at the time this test was conducted.
Please note that for reliability reasons only the network traffic from open TCP ports is analyzed.","N/A","N/A",,,"IP ID changes observed (network order) for port 443: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 
Duration: 30 milli seconds","no",,"TCP/IP"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","12230","Default Web Page","Ig","1","443","tcp",,"over ssl",,,,"The Result section displays the default Web page for the Web server.","N/A","N/A",,,"<html><head><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=UTF-8""><script type=""text/javascript"" src=""/vpn/resources.js""></script><script type=""text/javascript"" language=""javascript"">var Resources = new ResourceManager(""/logon/themes/Default/resources/{lang}"", ""REDIRECTION_BODY"");</script></head><body><span id=""This object may be found ""></span><span id=""here""></span> (/vpn/index.html)<span id=""Trailing phrase after here""></span><script type=""text/javascript"" language=""javascript"">Resources.Load();</script></body></html>","no",,"CGI"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","38116","SSL Server Information Retrieval","Ig","1","443","tcp",,"over ssl",,,," The following is a list of supported SSL ciphers. 
Note: If a cipher is included in this list it means that it was possible to establish a SSL connection using that cipher. There are some web servers setups that allow connections to be established using a LOW grade cipher, only to provide a web page stating that the URL is accessible only through a non-LOW grade cipher. In this case even though LOW grade cipher will be listed here QID 38140 will not be reported.","N/A","N/A",,,"CIPHER	KEY-EXCHANGE	AUTHENTICATION	MAC	ENCRYPTION(KEY-STRENGTH)	GRADE
SSLv2 PROTOCOL IS DISABLED	 	 	 	 	 
SSLv3 PROTOCOL IS DISABLED	 	 	 	 	 
TLSv1 PROTOCOL IS ENABLED	 	 	 	 	 
TLSv1	COMPRESSION METHOD	None	 	 	 
ECDHE-RSA-AES128-SHA	ECDH	RSA	SHA1	AES(128)	MEDIUM
ECDHE-RSA-AES256-SHA	ECDH	RSA	SHA1	AES(256)	HIGH
TLSv1.1 PROTOCOL IS DISABLED	 	 	 	 	 
TLSv1.2 PROTOCOL IS ENABLED	 	 	 	 	 
TLSv1.2	COMPRESSION METHOD	None	 	 	 
ECDHE-RSA-AES128-SHA	ECDH	RSA	SHA1	AES(128)	MEDIUM
ECDHE-RSA-AES256-SHA	ECDH	RSA	SHA1	AES(256)	HIGH
ECDHE-RSA-AES128-SHA256	ECDH	RSA	SHA256	AES(128)	MEDIUM
ECDHE-RSA-AES256-SHA384	ECDH	RSA	SHA384	AES(256)	HIGH
ECDHE-RSA-AES128-GCM-SHA256	ECDH	RSA	AEAD	AESGCM(128)	MEDIUM
ECDHE-RSA-AES256-GCM-SHA384	ECDH	RSA	AEAD	AESGCM(256)	HIGH
TLSv1.3 PROTOCOL IS DISABLED","no",,"General remote services"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","38291","SSL Session Caching Information","Ig","1","443","tcp",,"over ssl",,,,"SSL session is a collection of security parameters that are negotiated by the SSL client and server for each SSL connection. SSL session caching is targeted to reduce the overhead of negotiations in recurring SSL connections. SSL sessions can be reused to resume an earlier connection or to establish multiple simultaneous connections. The client suggests an SSL session to be reused by identifying the session with a Session-ID during SSL handshake. If the server finds it appropriate to reuse the session,  then they both proceed to secure communication with already known security parameters.
This test determines if SSL session caching is enabled on the host.","SSL session caching is part of the SSL and TLS protocols and is not a security threat. The result of this test is for informational purposes only.",,,,"TLSv1 session caching is enabled on the target.
TLSv1.2 session caching is enabled on the target.","no",,"General remote services"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","38597","SSL/TLS invalid protocol version tolerance","Ig","1","443","tcp",,"over ssl",,,,"SSL/TLS protocols have different version that can be supported by both the client and the server. This test attempts to send invalid protocol versions to the target in order to find out what is the target's behavior. The results section contains a table that indicates what was the target's response to each of our tests.","N/A","N/A",,,"my version	target version
0304	0303
0399	rejected
0400	rejected
0499	rejected","no",,"General remote services"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","38600","SSL Certificate will expire within next six months","Ig","1","443","tcp",,"over ssl",,,,"Certificates are used for authentication purposes in different protocols such as SSL/TLS. Each certificate has a validity period outside of which it is supposed to be considered invalid. This QID is reported to inform that a certificate will expire within next six months. The advance notice can be helpful since obtaining a certificate can take some time.","Expired certificates can cause connection disruptions or compromise the integrity and privacy of the connections being protected by the certificates.","Contact the certificate authority that signed your certificate to arrange for a renewal.",,,"Certificate 0 CN=remote.origenfs.co.uk,OU=Domain_Control_Validated The certificate will expire within six months: Mar 28 12:03:26 2019 GMT","no",,"General remote services"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","38610","SSL/TLS Server supports TLS_FALLBACK_SCSV","Ig","1","443","tcp",,"over ssl",,,,"TLS cipher suite  TLS_FALLBACK_SCSV is a signaling cipher suite value (SCSV).
TLS servers support TLS_FALLBACK_SCSV will prevent downgrade attack.","N/A","N/A",,,"TLS_FALLBACK_SCSV is supported on port 443.","no",,"General remote services"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","38704","SSL/TLS Key Exchange Methods","Ig","1","443","tcp",,"over ssl",,,,"The following is a list of SSL/TLS key exchange methods supported by the server, along with their respective key sizes and strengths.","N/A","N/A",,,"NAME	GROUP	KEY-SIZE	FORWARD-SECRET	CLASSICAL-STRENGTH	QUANTUM-STRENGTH
TLSv1	 	 	 	 	 
ECDHE	secp256r1	256	yes	128	low
ECDHE	secp384r1	384	yes	192	low
ECDHE	secp521r1	521	yes	260	low
TLSv1.2	 	 	 	 	 
ECDHE	secp256r1	256	yes	128	low
ECDHE	secp384r1	384	yes	192	low
ECDHE	secp521r1	521	yes	260	low","no",,"General remote services"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","38706","SSL/TLS Protocol Properties","Ig","1","443","tcp",,"over ssl",,,,"The following is a list of detected SSL/TLS protocol properties.","Items include:  
 Extended Master Secret: indicates whether the extended_master_secret extension is supported or required by the server. This extension enhances security and is recommended. Applicable to TLSv1, TLSv1.1, TLSv1.2, DTLSv1, DTLSv1.2 
 Encrypt Then MAC: indicates whether the encrypt_then_mac extension is supported or required by the server. This extension enhances the security of non-AEAD ciphers and is recommended. Applicable to TLSv1, TLSv1.1, TLSv1.2, DTLSv1, DTLSv1.2 
 Heartbeat: indicates whether the heartbeat extension is supported. It is not recommended to enable this, except for DTLS. Applicable to TLSv1, TLSv1.1, TLSv1.2, TLSv1.3, DTLSv1, DTLSv1.2 
 Truncated HMAC: indicates whether the truncated_hmac extension is supported. This can degrade security and is not recommended. Applicable to TLSv1, TLSv1.1, TLSv1.2, DTLSv1, DTLSv1.2 
 Cipher priority: indicates whether client, server or both determine the priority of ciphers. Having the server determine the priority is recommended. Applicable to SSLv3, TLSv1, TLSv1.1, TLSv1.2, TLSv1.3, DTLSv1, DTLSv1.2","N/A",,,"NAME	STATUS
TLSv1	 
Extended Master Secret	no
Encrypt Then MAC	no
Heartbeat	no
Truncated HMAC	no
Cipher priority controlled by	server
OCSP stapling	no
SCT extension	no
TLSv1.2	 
Extended Master Secret	no
Encrypt Then MAC	no
Heartbeat	no
Truncated HMAC	no
Cipher priority controlled by	server
OCSP stapling	no
SCT extension	no","no",,"General remote services"
"87.224.92.171","87-224-92-171.spitfireuk.net",,"NetScaler","host scanned, found vuln","42350","TLS Secure Renegotiation Extension Support Information","Ig","1","443","tcp",,"over ssl",,,,"Secure Socket Layer (SSL) and Transport Layer Security (TLS) renegotiation are vulnerable to an attack in which the attacker forms a TLS connection with the target server, injects content of his choice, and then splices in a new TLS connection from a client. The server treats the client's initial TLS handshake as a renegotiation and thus believes that the initial data transmitted by the attacker is from the same entity as the subsequent client data. TLS protocol was extended to cryptographically tierenegotiations to the TLS connections they are being performed over. This is referred to as TLS secure renegotiation extension. This detection determines whether the TLS secure renegotiation extension is supported by the server or not.","N/A","N/A",,,"TLS Secure Renegotiation Extension Status: supported.","no",,"General remote services"
